index,bitstring,frequency,objective,is_feasible,assign_0,assign_1,assign_2,assign_3,capacity_0,capacity_1
105,101110010111,0.001,28.0,False,False,False,True,False,True,True
106,110110011111,0.001,28.0,False,False,True,False,False,True,True
107,011010100100,0.00099,28.0,False,True,True,False,False,True,True
108,010010110111,0.00099,29.0,True,True,True,True,True,True,True
109,101011011011,0.00099,28.0,False,False,True,True,True,True,True
110,100111100000,0.00099,24.0,False,False,True,True,True,True,True
111,101001010100,0.00098,22.0,True,True,True,True,True,True,True
112,011110011110,0.00097,31.0,False,True,True,True,False,True,True
113,101101010000,0.00097,25.0,False,True,True,True,False,True,True
114,100111101100,0.00096,24.0,False,False,True,True,True,True,True
115,000011010011,0.00096,17.0,False,True,True,False,True,True,True
116,111101101010,0.00095,32.0,False,True,False,False,True,False,True
117,100101011111,0.00095,18.0,False,True,True,False,False,True,True
118,110010010011,0.00095,25.0,False,False,True,False,True,True,True
119,000000100110,0.00095,8.0,False,False,False,True,False,True,True
120,100101101011,0.00094,18.0,True,True,True,True,True,True,True
121,011000010010,0.00094,22.0,False,False,True,True,True,True,True
122,011001001111,0.00094,17.0,False,False,False,True,False,True,True
123,011101010101,0.00093,28.0,False,False,False,True,False,True,True
124,100110001011,0.00093,13.0,False,False,False,False,True,True,True
125,000100010011,0.00093,11.0,False,False,False,False,False,True,True
126,011110100111,0.00093,31.0,False,True,True,False,True,True,True
127,101110101001,0.00092,28.0,False,False,False,False,True,True,True
128,100111011111,0.00092,24.0,False,False,True,False,False,True,True
129,100101001111,0.00092,10.0,False,True,True,False,True,True,True
130,110101101010,0.00092,25.0,False,True,False,True,True,True,True
131,111110001100,0.00091,27.0,False,False,True,True,True,False,True
132,011011100000,0.00091,31.0,False,True,False,False,False,True,True
133,100000000100,0.00091,4.0,False,True,False,False,False,True,True
134,001010000000,0.00091,13.0,False,True,False,True,False,True,True
135,010010000011,0.00091,13.0,False,True,True,False,False,True,True
136,010001011001,0.00091,18.0,False,False,False,False,True,True,True
137,100110010011,0.00091,21.0,False,False,False,False,False,True,True
138,101110010100,0.00091,28.0,False,False,False,True,False,True,True
139,001110010001,0.0009,24.0,False,True,False,True,False,True,True
140,100001010110,0.0009,15.0,False,True,True,False,True,True,True
141,100001011001,0.0009,15.0,False,True,True,False,True,True,True
142,011100011011,0.0009,25.0,False,False,True,True,False,True,True
143,110011101110,0.0009,28.0,False,False,False,True,False,True,True
